Country,Type,Disasters,Killed,Injured,Affected,Homeless,Total affected
Afghanistan,Extreme winter conditions,1,45,68,0,0,68
Afghanistan,Flash Flood,2,0,1,13380,0,13381
Afghanistan,General Flood,4,149,310,35014,2445,37769
Albania,Extreme winter conditions,1,5,0,230000,0,230000
Algeria,General Flood,2,69,101,0,0,101
Angola,Drought,1,0,0,1833900,0,1833900
Angola,General Flood,1,0,0,5500,0,5500
Angola,Other,1,16,100,0,0,100
Argentina,General Flood,1,6,0,10000,0,10000
Argentina,Local storm,2,19,30,7500,2000,9530
Australia,General Flood,2,4,0,16000,0,16000
Australia,Water,1,75,0,0,0,0
Austria,Cold wave,1,5,0,0,0,0
Azerbaijan,Cold wave,1,5,0,0,0,0
Bahamas,Tropical cyclone,1,1,0,0,0,0
Bahamas,Water,1,24,0,4,0,4
Bangladesh,Cold wave,1,72,0,75000,0,75000
Bangladesh,Collapse,1,13,0,0,0,0
Bangladesh,General Flood,2,131,0,5398475,0,5398475
Bangladesh,Local storm,2,133,304,129375,55000,184679
Bangladesh,Water,3,273,0,35,0,35
Belarus,Cold wave,1,0,30,100,0,130
Belgium,Cold wave,1,3,0,0,0,0
Benin,General Flood,1,4,0,55000,0,55000
Benin,Water,1,17,0,0,0,0
Bolivia,General Flood,1,13,0,69085,0,69085
Bolivia,Water,1,15,0,0,0,0
Bosnia-Hercegovenia,Cold wave,1,4,0,10347,0,10347
Brazil,Collapse,1,39,6,0,0,6
Brazil,Drought,1,0,0,0,0,0
Brazil,General Flood,2,33,0,210000,14000,224000
Bulgaria,Cold wave,2,33,0,0,0,0
Bulgaria,General Flood,1,5,0,37950,0,37950
Burkina Faso,Drought,1,0,0,2850000,0,2850000
Burkina Faso,General Flood,1,18,0,0,21000,21000
Cambodia,General Flood,1,14,0,71500,0,71500
Cameroon,General Flood,2,25,0,20000,31980,51980
Canada,General Flood,1,0,0,1500,0,1500
Canada,Local storm,2,0,0,0,0,0
Central African Rep,Local storm,2,0,23,0,3870,3893
