Area,Popolazione >30,Numero decessi osservati,Decessi attribuilbili all'inquinante,Tasso di mortalità attribuibile all'inquinante (per 100.000),Etichetta,Inquinante,Anno,Scenario
Italia,40.077.488,527.193,34.552,86,Mortalità per cause naturali,"Pm2,5",2005,baseline
Nord,18.847.023,249.518,22.485,119,Mortalità per cause naturali,"Pm2,5",2005,baseline
Centro,8.858.531,119.756,5.513,62,Mortalità per cause naturali,"Pm2,5",2005,baseline
Sud e Isole,12.371.934,157.918,6.554,53,Mortalità per cause naturali,"Pm2,5",2005,baseline
Urbano,14.251.369,182.325,19.358,136,Mortalità per cause naturali,"Pm2,5",2005,baseline
Non Urbano,25.826.119,344.867,15.194,59,Mortalità per cause naturali,"Pm2,5",2005,baseline
Italia,40.077.488,527.193,23.387,58,Mortalità per cause naturali,NO2,2005,baseline
Nord,18.847.023,249.518,14.008,74,Mortalità per cause naturali,NO2,2005,baseline
Centro,8.858.531,119.756,4.977,56,Mortalità per cause naturali,NO2,2005,baseline
Sud e Isole,12.371.934,157.918,4.403,36,Mortalità per cause naturali,NO2,2005,baseline
Urbano,14.251.369,182.325,16.736,117,Mortalità per cause naturali,NO2,2005,baseline
Non Urbano,25.826.119,344.867,6.651,26,Mortalità per cause naturali,NO2,2005,baseline
Italia,40.077.488,527.193,2.230,6,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Nord,18.847.023,249.518,918,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Centro,8.858.531,119.756,516,6,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Sud e Isole,12.371.934,157.918,797,6,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Urbano,14.251.369,182.325,636,4,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Suburbano ad alta densità,11.050.724,144.418,646,6,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Non urbano a media densità,11.269.376,151.703,712,6,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
