Area,Cod_reg,Regione,Popolazione >30,Numero decessi osservati,Decessi attribuilbili all'inquinante,Tasso di mortalità attribuibile all'inquinante (per 100.000),Etichetta,Inquinante,Anno,Scenario
Nord,1,Piemonte,3.112.573,44.775,2.500,80,Mortalità per cause naturali,"Pm2,5",2005,baseline
Nord,2,Valle d'Aosta,86.055,1.181,0,0,Mortalità per cause naturali,"Pm2,5",2005,baseline
Nord,3,Lombardia,6.585.442,79.792,10.802,164,Mortalità per cause naturali,"Pm2,5",2005,baseline
Nord,4,Trentino-Alto Adige,658.377,7.754,24,4,Mortalità per cause naturali,"Pm2,5",2005,baseline
Nord,5,Veneto,3.288.117,39.875,3.647,111,Mortalità per cause naturali,"Pm2,5",2005,baseline
Nord,6,Friuli Venezia Giulia,882.860,12.978,853,97,Mortalità per cause naturali,"Pm2,5",2005,baseline
Nord,7,Liguria,1.192.075,19.858,902,76,Mortalità per cause naturali,"Pm2,5",2005,baseline
Nord,8,Emilia-Romagna,3.041.524,43.305,3.757,124,Mortalità per cause naturali,"Pm2,5",2005,baseline
Centro,9,Toscana,2.606.350,37.731,1.544,59,Mortalità per cause naturali,"Pm2,5",2005,baseline
Centro,10,Umbria,614.190,8.942,147,24,Mortalità per cause naturali,"Pm2,5",2005,baseline
Centro,11,Marche,1.050.407,14.345,477,45,Mortalità per cause naturali,"Pm2,5",2005,baseline
Centro,12,Lazio,3.684.035,46.385,3.141,85,Mortalità per cause naturali,"Pm2,5",2005,baseline
Centro,13,Abruzzo,903.549,12.354,204,23,Mortalità per cause naturali,"Pm2,5",2005,baseline
Sud e Isole,14,Molise,218.985,3.176,1,0,Mortalità per cause naturali,"Pm2,5",2005,baseline
Sud e Isole,15,Campania,3.549.631,44.873,4.675,132,Mortalità per cause naturali,"Pm2,5",2005,baseline
Sud e Isole,16,Puglia,2.608.398,31.354,1.106,42,Mortalità per cause naturali,"Pm2,5",2005,baseline
Sud e Isole,17,Basilicata,392.088,5.249,3,1,Mortalità per cause naturali,"Pm2,5",2005,baseline
Sud e Isole,18,Calabria,1.277.737,16.449,27,2,Mortalità per cause naturali,"Pm2,5",2005,baseline
Sud e Isole,19,Sicilia,3.204.855,43.906,596,19,Mortalità per cause naturali,"Pm2,5",2005,baseline
Sud e Isole,20,Sardegna,1.120.241,12.912,145,13,Mortalità per cause naturali,"Pm2,5",2005,baseline
Nord,1,Piemonte,3.112.573,44.775,1.360,44,Mortalità per cause naturali,NO2,2005,baseline
Nord,2,Valle d'Aosta,86.055,1.181,0,0,Mortalità per cause naturali,NO2,2005,baseline
Nord,3,Lombardia,6.585.442,79.792,8.349,127,Mortalità per cause naturali,NO2,2005,baseline
Nord,4,Trentino-Alto Adige,658.377,7.754,44,7,Mortalità per cause naturali,NO2,2005,baseline
Nord,5,Veneto,3.288.117,39.875,1.517,46,Mortalità per cause naturali,NO2,2005,baseline
Nord,6,Friuli Venezia Giulia,882.860,12.978,722,82,Mortalità per cause naturali,NO2,2005,baseline
Nord,7,Liguria,1.192.075,19.858,488,41,Mortalità per cause naturali,NO2,2005,baseline
Nord,8,Emilia-Romagna,3.041.524,43.305,1.527,50,Mortalità per cause naturali,NO2,2005,baseline
Centro,9,Toscana,2.606.350,37.731,799,31,Mortalità per cause naturali,NO2,2005,baseline
Centro,10,Umbria,614.190,8.942,44,7,Mortalità per cause naturali,NO2,2005,baseline
Centro,11,Marche,1.050.407,14.345,34,3,Mortalità per cause naturali,NO2,2005,baseline
Centro,12,Lazio,3.684.035,46.385,3.940,107,Mortalità per cause naturali,NO2,2005,baseline
Centro,13,Abruzzo,903.549,12.354,160,18,Mortalità per cause naturali,NO2,2005,baseline
Sud e Isole,14,Molise,218.985,3.176,3,1,Mortalità per cause naturali,NO2,2005,baseline
Sud e Isole,15,Campania,3.549.631,44.873,3.883,109,Mortalità per cause naturali,NO2,2005,baseline
Sud e Isole,16,Puglia,2.608.398,31.354,301,12,Mortalità per cause naturali,NO2,2005,baseline
Sud e Isole,17,Basilicata,392.088,5.249,0,0,Mortalità per cause naturali,NO2,2005,baseline
Sud e Isole,18,Calabria,1.277.737,16.449,10,1,Mortalità per cause naturali,NO2,2005,baseline
Sud e Isole,19,Sicilia,3.204.855,43.906,170,5,Mortalità per cause naturali,NO2,2005,baseline
Sud e Isole,20,Sardegna,1.120.241,12.912,36,3,Mortalità per cause naturali,NO2,2005,baseline
Nord,1,Piemonte,3.112.573,44.775,160,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Nord,2,Valle d'Aosta,86.055,1.181,4,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Nord,3,Lombardia,6.585.442,79.792,283,4,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Nord,4,Trentino-Alto Adige,658.377,7.754,20,3,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Nord,5,Veneto,3.288.117,39.875,144,4,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Nord,6,Friuli Venezia Giulia,882.860,12.978,34,4,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Nord,7,Liguria,1.192.075,19.858,128,11,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Nord,8,Emilia-Romagna,3.041.524,43.305,144,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Centro,9,Toscana,2.606.350,37.731,188,7,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Centro,10,Umbria,614.190,8.942,33,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Centro,11,Marche,1.050.407,14.345,62,6,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Centro,12,Lazio,3.684.035,46.385,184,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Centro,13,Abruzzo,903.549,12.354,49,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Sud e Isole,14,Molise,218.985,3.176,14,6,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Sud e Isole,15,Campania,3.549.631,44.873,174,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Sud e Isole,16,Puglia,2.608.398,31.354,162,6,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Sud e Isole,17,Basilicata,392.088,5.249,21,5,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Sud e Isole,18,Calabria,1.277.737,16.449,87,7,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Sud e Isole,19,Sicilia,3.204.855,43.906,266,8,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Sud e Isole,20,Sardegna,1.120.241,12.912,72,6,Mortalità SHORT TERM per cause naturali attribuibile a O3 annuale al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Nord,1,Piemonte,3.112.573,3.314,141,5,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Nord,2,Valle d'Aosta,86.055,103,3,3,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Nord,3,Lombardia,6.585.442,5.490,314,5,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2005,baseline
Nord,4,Trentino-Alto Adige,658.377,617,18,3,Mortalità LONG TERM per cause RESPIRATORIE attribuibile a O3 estivo al di sopra della soglia di 70 µg/m3,O3,2005,baseline
